,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196617,"	1","	4","	9","	0","	78","	2","	5","	1","	0","	12","	12","	1","	9","	1","	62","	5","	3","	8","	14","	18","	21","	0","	60","	6","	4","	4","	0","	8","	0","	2","	2","	13","	8","	0","	28","	29","	1","	11","	27","	0","	1","	0","	8","	21","	3","	14","	0","	7","	7","	1","	0","	"
196618,"	0","	17","	7","	5","	96","	0","	4","	1","	4","	26","	11","	1","	16","	4","	26","	2","	5","	11","	15","	20","	13","	4","	27","	5","	17","	7","	1","	10","	0","	5","	0","	38","	8","	0","	45","	19","	0","	18","	38","	3","	1","	1","	24","	35","	1","	7","	0","	5","	6","	0","	0","	"
196619,"	2","	4","	9","	9","	126","	4","	7","	0","	2","	12","	10","	1","	13","	3","	17","	5","	3","	19","	14","	14","	12","	8","	68","	7","	9","	6","	1","	4","	0","	0","	0","	21","	6","	0","	65","	33","	0","	14","	30","	9","	7","	0","	20","	38","	2","	5","	1","	10","	4","	5","	1","	"
196620,"	0","	11","	5","	4","	106","	7","	2","	2","	0","	19","	5","	2","	13","	0","	7","	11","	2","	9","	6","	16","	29","	2","	39","	6","	19","	2","	4","	7","	0","	3","	0","	27","	1","	0","	45","	47","	1","	19","	34","	0","	1","	1","	16","	35","	0","	9","	0","	10","	4","	5","	1","	"
196621,"	4","	5","	6","	1","	124","	8","	3","	1","	0","	21","	15","	0","	17","	1","	15","	12","	2","	27","	10","	5","	33","	2","	49","	3","	107","	16","	4","	11","	0","	1","	1","	26","	5","	0","	64","	36","	3","	13","	32","	3","	0","	1","	14","	21","	0","	8","	0","	7","	4","	3","	0","	"
196622,"	1","	3","	4","	3","	106","	5","	4","	0","	0","	9","	7","	0","	17","	0","	13","	13","	2","	12","	8","	6","	25","	5","	28","	3","	7","	1","	1","	1","	1","	2","	1","	25","	3","	0","	47","	14","	3","	8","	31","	4","	1","	0","	24","	36","	3","	7","	1","	13","	3","	4","	1","	"
196623,"	0","	9","	1","	5","	107","	9","	8","	1","	2","	12","	12","	0","	10","	0","	33","	5","	3","	18","	8","	7","	18","	4","	44","	4","	12","	11","	5","	5","	1","	3","	0","	10","	6","	0","	42","	31","	0","	30","	30","	4","	0","	0","	15","	22","	1","	19","	2","	14","	2","	5","	0","	"
196624,"	6","	3","	3","	8","	121","	2","	2","	1","	0","	12","	15","	4","	13","	14","	38","	11","	1","	18","	11","	6","	21","	3","	39","	2","	21","	13","	1","	6","	0","	0","	1","	12","	5","	0","	48","	17","	2","	16","	16","	3","	2","	0","	14","	26","	6","	12","	0","	11","	3","	4","	1","	"
196625,"	0","	10","	1","	3","	128","	4","	5","	0","	3","	12","	6","	0","	9","	2","	12","	8","	0","	11","	3","	9","	19","	3","	27","	6","	25","	4","	0","	7","	1","	0","	1","	20","	4","	0","	53","	23","	4","	13","	36","	1","	2","	0","	9","	25","	5","	4","	0","	5","	5","	9","	3","	"
196626,"	1","	0","	4","	2","	140","	6","	8","	0","	3","	18","	6","	0","	8","	4","	18","	4","	4","	6","	7","	8","	11","	6","	23","	4","	9","	9","	0","	7","	0","	0","	1","	12","	3","	0","	55","	9","	0","	9","	23","	1","	1","	1","	11","	32","	1","	15","	0","	7","	3","	5","	1","	"
196627,"	1","	7","	1","	5","	119","	1","	5","	1","	1","	6","	0","	0","	7","	2","	5","	9","	4","	13","	7","	5","	9","	3","	30","	5","	6","	6","	1","	3","	0","	0","	0","	13","	3","	0","	32","	19","	1","	13","	14","	1","	0","	0","	15","	21","	1","	3","	0","	12","	4","	2","	0","	"
196628,"	10","	2","	10","	7","	92","	5","	3","	0","	0","	4","	7","	4","	11","	2","	9","	9","	3","	17","	18","	5","	5","	3","	48","	1","	7","	5","	1","	5","	1","	1","	0","	12","	10","	0","	37","	19","	1","	11","	17","	2","	3","	0","	10","	37","	1","	8","	0","	17","	5","	4","	0","	"
196629,"	0","	2","	7","	5","	164","	0","	6","	1","	1","	27","	7","	1","	7","	2","	11","	9","	2","	7","	13","	9","	22","	3","	34","	5","	29","	10","	0","	4","	0","	1","	1","	16","	3","	0","	37","	26","	1","	13","	14","	3","	3","	0","	26","	31","	1","	0","	0","	18","	3","	4","	1","	"
196630,"	1","	2","	4","	9","	126","	22","	6","	0","	0","	5","	5","	0","	6","	6","	6","	2","	4","	8","	6","	5","	7","	2","	45","	9","	10","	9","	2","	8","	0","	0","	4","	8","	3","	0","	50","	16","	2","	31","	28","	1","	2","	1","	15","	31","	0","	6","	1","	15","	10","	2","	0","	"
196631,"	0","	1","	8","	11","	108","	8","	10","	0","	0","	15","	12","	2","	12","	0","	7","	3","	2","	5","	8","	17","	6","	6","	30","	2","	33","	6","	4","	12","	0","	3","	1","	11","	6","	0","	46","	8","	4","	23","	27","	5","	1","	0","	14","	23","	7","	12","	0","	26","	6","	3","	1","	"
196632,"	0","	6","	3","	7","	120","	5","	4","	0","	0","	10","	15","	2","	16","	0","	7","	8","	4","	7","	6","	2","	14","	7","	27","	1","	19","	8","	0","	8","	1","	0","	0","	18","	4","	0","	51","	29","	1","	24","	26","	2","	1","	0","	8","	32","	1","	9","	1","	9","	3","	0","	0","	"
196633,"	3","	5","	4","	8","	119","	2","	14","	0","	1","	11","	7","	1","	11","	1","	50","	7","	0","	9","	18","	2","	14","	3","	66","	5","	11","	7","	2","	8","	0","	0","	0","	9","	8","	0","	34","	27","	1","	24","	23","	3","	1","	1","	17","	38","	3","	7","	0","	17","	2","	5","	1","	"
196634,"	3","	5","	5","	4","	110","	3","	9","	1","	1","	11","	6","	0","	8","	1","	21","	3","	6","	13","	11","	9","	9","	3","	52","	3","	12","	15","	4","	7","	0","	1","	2","	15","	3","	0","	31","	16","	0","	19","	26","	0","	3","	1","	12","	37","	0","	5","	1","	15","	6","	2","	1","	"
196635,"	0","	4","	7","	7","	98","	5","	7","	1","	2","	7","	8","	0","	3","	1","	16","	11","	0","	9","	7","	12","	14","	3","	34","	7","	3","	6","	0","	8","	0","	0","	1","	10","	1","	0","	39","	19","	0","	28","	40","	2","	0","	0","	14","	34","	6","	6","	0","	11","	4","	1","	1","	"
196636,"	6","	3","	5","	0","	88","	1","	6","	1","	2","	5","	6","	0","	19","	2","	16","	6","	0","	6","	5","	7","	10","	2","	19","	4","	13","	4","	1","	12","	2","	0","	0","	13","	8","	0","	35","	21","	0","	10","	19","	3","	1","	0","	10","	24","	2","	18","	0","	9","	7","	4","	2","	"
196637,"	3","	5","	3","	16","	112","	11","	3","	1","	0","	7","	5","	2","	5","	1","	21","	10","	2","	10","	3","	6","	17","	6","	41","	12","	4","	10","	0","	4","	0","	1","	0","	11","	7","	0","	35","	11","	1","	40","	25","	2","	1","	0","	10","	32","	6","	14","	0","	11","	4","	2","	2","	"
196638,"	1","	3","	5","	12","	128","	3","	7","	0","	2","	15","	2","	1","	32","	4","	19","	11","	3","	19","	7","	15","	17","	12","	27","	4","	4","	2","	0","	10","	1","	3","	1","	19","	4","	3","	49","	25","	3","	18","	34","	2","	1","	0","	14","	25","	2","	4","	0","	9","	4","	2","	0","	"
