,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196907,"	1","	11","	18","	9","	198","	17","	11","	1","	4","	17","	17","	2","	11","	2","	28","	12","	3","	43","	28","	32","	8","	4","	62","	9","	6","	10","	4","	17","	5","	0","	5","	14","	1","	9","	69","	60","	5","	18","	38","	14","	4","	9","	29","	65","	5","	4","	5","	21","	6","	11","	0","	"
196908,"	5","	9","	2","	5","	220","	7","	10","	1","	0","	44","	30","	1","	6","	2","	30","	15","	6","	17","	16","	19","	22","	1","	68","	12","	10","	13","	4","	6","	0","	3","	0","	22","	3","	0","	65","	41","	9","	24","	61","	0","	10","	1","	20","	59","	7","	8","	2","	18","	5","	9","	1","	"
196909,"	0","	15","	11","	5","	209","	5","	13","	0","	1","	20","	12","	0","	4","	4","	35","	16","	7","	34","	21","	23","	10","	3","	55","	11","	2","	7","	10","	22","	6","	3","	3","	28","	6","	0","	99","	45","	6","	23","	44","	0","	7","	0","	31","	50","	14","	8","	2","	32","	15","	3","	0","	"
196910,"	0","	7","	4","	8","	189","	19","	15","	1","	0","	37","	18","	0","	5","	7","	26","	13","	14","	39","	11","	18","	22","	3","	52","	12","	7","	7","	5","	11","	1","	1","	8","	26","	7","	1","	73","	65","	7","	26","	62","	19","	11","	1","	20","	48","	10","	3","	0","	35","	12","	4","	0","	"
196911,"	2","	8","	27","	7","	249","	27","	6","	3","	1","	16","	16","	2","	11","	2","	78","	10","	10","	32","	15","	49","	13","	4","	88","	9","	10","	9","	6","	16","	1","	1","	4","	76","	7","	0","	83","	33","	5","	21","	50","	19","	6","	8","	16","	34","	15","	7","	3","	81","	15","	4","	6","	"
196912,"	1","	6","	2","	6","	194","	15","	19","	0","	0","	20","	1","	1","	5","	0","	84","	8","	12","	26","	10","	37","	0","	2","	60","	11","	6","	4","	3","	12","	1","	0","	4","	32","	10","	0","	96","	49","	5","	15","	74","	21","	12","	1","	17","	70","	7","	5","	1","	25","	17","	3","	1","	"
196913,"	5","	3","	0","	13","	194","	1","	16","	2","	1","	42","	41","	1","	3","	0","	28","	3","	3","	9","	14","	22","	18","	3","	50","	12","	9","	4","	3","	9","	2","	0","	7","	32","	5","	0","	80","	40","	7","	8","	52","	16","	3","	3","	15","	41","	10","	8","	2","	14","	8","	1","	7","	"
196914,"	0","	20","	4","	9","	169","	0","	7","	2","	2","	23","	43","	2","	7","	0","	42","	14","	8","	16","	17","	38","	18","	1","	52","	1","	5","	13","	2","	11","	1","	0","	2","	4","	15","	6","	77","	34","	8","	13","	73","	19","	9","	1","	14","	31","	5","	15","	4","	33","	10","	10","	0","	"
196915,"	0","	6","	2","	24","	166","	58","	12","	2","	6","	42","	10","	1","	15","	3","	33","	8","	2","	19","	18","	28","	7","	3","	65","	11","	2","	6","	2","	13","	2","	0","	1","	42","	14","	0","	48","	40","	5","	13","	76","	18","	2","	15","	19","	59","	5","	10","	3","	14","	9","	3","	2","	"
196916,"	3","	17","	4","	10","	182","	8","	13","	0","	3","	28","	17","	0","	13","	3","	27","	9","	4","	16","	21","	42","	11","	1","	72","	12","	16","	12","	3","	12","	0","	15","	3","	36","	9","	0","	98","	38","	6","	25","	44","	12","	4","	6","	19","	61","	6","	29","	2","	8","	15","	14","	0","	"
196917,"	3","	9","	4","	12","	192","	12","	7","	1","	0","	21","	10","	4","	9","	1","	47","	21","	4","	6","	15","	27","	14","	3","	58","	8","	5","	8","	6","	8","	0","	5","	3","	54","	5","	0","	81","	33","	12","	12","	49","	14","	9","	3","	21","	48","	9","	9","	2","	31","	9","	2","	0","	"
196918,"	0","	13","	2","	7","	197","	22","	10","	0","	1","	35","	14","	0","	9","	0","	37","	14","	12","	16","	16","	29","	21","	2","	69","	5","	4","	0","	0","	3","	2","	0","	0","	20","	0","	1","	78","	26","	7","	6","	35","	22","	4","	2","	20","	56","	8","	12","	1","	35","	7","	3","	2","	"
196919,"	0","	4","	0","	11","	195","	17","	14","	0","	0","	18","	31","	3","	3","	3","	17","	10","	3","	26","	13","	25","	19","	3","	56","	9","	3","	9","	2","	9","	1","	2","	6","	47","	7","	14","	87","	28","	5","	11","	37","	33","	6","	1","	25","	50","	4","	4","	1","	35","	5","	2","	0","	"
196920,"	1","	4","	2","	14","	189","	1","	14","	3","	1","	35","	19","	4","	8","	5","	42","	13","	6","	40","	14","	36","	20","	1","	68","	10","	21","	0","	2","	10","	1","	0","	1","	37","	2","	0","	91","	34","	6","	19","	46","	18","	3","	2","	18","	42","	4","	9","	3","	25","	11","	10","	2","	"
196921,"	5","	4","	3","	6","	188","	14","	13","	2","	0","	15","	0","	2","	13","	3","	41","	19","	2","	15","	15","	25","	7","	2","	32","	8","	37","	12","	2","	9","	2","	2","	0","	22","	6","	0","	94","	37","	11","	16","	61","	28","	17","	2","	15","	41","	6","	8","	7","	32","	6","	6","	0","	"
196922,"	1","	8","	1","	5","	167","	7","	11","	0","	1","	44","	19","	1","	5","	0","	41","	9","	8","	12","	23","	19","	9","	0","	49","	10","	10","	12","	3","	20","	0","	1","	1","	18","	3","	0","	62","	25","	2","	12","	32","	19","	4","	0","	15","	54","	5","	5","	4","	18","	10","	1","	1","	"
196923,"	0","	7","	0","	13","	159","	11","	5","	0","	0","	25","	10","	1","	3","	2","	29","	9","	2","	19","	7","	23","	20","	3","	52","	8","	9","	14","	2","	9","	1","	3","	6","	47","	1","	5","	54","	29","	11","	28","	57","	19","	10","	0","	19","	33","	6","	5","	1","	40","	4","	3","	1","	"
196924,"	0","	6","	0","	9","	196","	18","	13","	0","	0","	27","	16","	3","	6","	1","	25","	15","	2","	37","	14","	28","	19","	1","	68","	4","	18","	7","	1","	12","	1","	0","	4","	18","	4","	0","	64","	30","	7","	19","	46","	14","	5","	1","	21","	53","	9","	9","	3","	26","	5","	6","	0","	"
196925,"	1","	2","	5","	12","	177","	26","	11","	1","	0","	18","	11","	1","	6","	5","	16","	12","	8","	20","	9","	41","	10","	0","	42","	1","	21","	6","	2","	2","	0","	6","	4","	48","	4","	0","	73","	24","	6","	11","	33","	22","	18","	1","	31","	39","	3","	21","	0","	44","	9","	3","	0","	"
196926,"	0","	4","	0","	9","	165","	11","	7","	0","	0","	33","	14","	0","	7","	1","	36","	5","	2","	15","	15","	37","	16","	0","	63","	9","	25","	10","	3","	12","	1","	2","	6","	35","	6","	0","	84","	19","	5","	7","	29","	23","	8","	0","	15","	38","	8","	6","	1","	33","	5","	6","	0","	"
196927,"	1","	2","	2","	11","	190","	5","	8","	2","	0","	30","	5","	2","	6","	0","	21","	3","	1","	7","	7","	23","	7","	1","	51","	9","	17","	7","	0","	12","	1","	1","	5","	22","	4","	0","	32","	21","	2","	11","	46","	5","	2","	0","	16","	34","	5","	6","	1","	6","	7","	4","	1","	"
196928,"	0","	3","	0","	12","	153","	5","	8","	3","	0","	24","	17","	2","	8","	1","	16","	5","	13","	11","	14","	12","	11","	4","	32","	2","	37","	0","	0","	3","	1","	0","	2","	42","	1","	0","	40","	22","	16","	24","	42","	6","	15","	0","	31","	41","	7","	8","	3","	21","	5","	7","	0","	"
196929,"	0","	11","	0","	12","	171","	25","	9","	0","	1","	0","	6","	0","	3","	1","	24","	5","	4","	56","	12","	30","	15","	1","	46","	5","	20","	12","	2","	8","	1","	12","	3","	49","	4","	0","	76","	26","	4","	13","	61","	21","	5","	1","	8","	42","	5","	11","	1","	4","	3","	1","	0","	"
196930,"	2","	6","	5","	9","	153","	0","	8","	6","	1","	49","	7","	2","	9","	1","	53","	12","	8","	11","	23","	34","	15","	2","	33","	6","	28","	0","	0","	14","	1","	2","	1","	24","	10","	5","	88","	17","	11","	16","	28","	12","	6","	0","	16","	47","	2","	5","	3","	38","	6","	3","	0","	"
196931,"	0","	8","	8","	13","	162","	13","	16","	0","	1","	31","	7","	0","	14","	1","	44","	6","	4","	20","	14","	48","	35","	7","	49","	5","	5","	12","	8","	16","	1","	0","	1","	53","	10","	4","	97","	27","	3","	14","	40","	16","	6","	0","	21","	63","	7","	6","	2","	22","	7","	15","	1","	"
196932,"	3","	6","	4","	5","	182","	8","	4","	0","	0","	23","	31","	0","	3","	4","	21","	6","	3","	16","	10","	40","	14","	5","	46","	11","	7","	0","	3","	11","	0","	10","	5","	38","	6","	21","	121","	29","	8","	23","	44","	10","	7","	1","	20","	58","	4","	12","	3","	25","	3","	3","	0","	"
196933,"	1","	1","	0","	22","	188","	16","	10","	0","	2","	18","	1","	5","	6","	1","	32","	2","	6","	9","	19","	55","	13","	0","	60","	2","	9","	19","	0","	2","	0","	1","	5","	19","	4","	3","	90","	32","	4","	17","	37","	20","	10","	7","	19","	49","	5","	6","	1","	13","	6","	7","	1","	"
196935,"	0","	0","	3","	10","	156","	7","	16","	1","	3","	33","	20","	3","	5","	0","	13","	4","	4","	31","	16","	64","	6","	2","	46","	3","	8","	3","	1","	10","	0","	0","	4","	24","	2","	0","	62","	22","	2","	7","	37","	23","	1","	1","	30","	46","	5","	5","	1","	7","	12","	7","	0","	"
196937,"	0","	3","	11","	16","	162","	9","	9","	3","	1","	38","	14","	12","	8","	3","	38","	9","	8","	12","	14","	83","	27","	4","	50","	5","	8","	3","	2","	14","	0","	10","	3","	36","	7","	14","	58","	34","	11","	14","	40","	20","	6","	0","	15","	45","	3","	8","	9","	53","	5","	2","	4","	"
196938,"	4","	5","	0","	13","	180","	9","	14","	1","	7","	36","	32","	2","	9","	2","	33","	16","	5","	32","	16","	67","	17","	4","	58","	9","	3","	6","	2","	7","	0","	1","	3","	24","	4","	2","	141","	48","	7","	25","	51","	34","	4","	0","	14","	44","	0","	11","	5","	26","	5","	10","	4","	"
196939,"	1","	6","	0","	15","	164","	5","	18","	4","	3","	29","	3","	7","	4","	1","	64","	10","	10","	16","	12","	56","	19","	0","	50","	11","	6","	7","	0","	4","	1","	0","	1","	46","	3","	0","	82","	38","	8","	14","	41","	23","	8","	0","	29","	34","	9","	27","	5","	5","	5","	30","	6","	"
196940,"	1","	1","	5","	16","	180","	0","	16","	2","	3","	11","	26","	2","	6","	0","	27","	13","	3","	19","	13","	56","	11","	4","	91","	12","	17","	10","	2","	37","	0","	2","	6","	42","	4","	2","	86","	36","	8","	21","	30","	11","	3","	0","	16","	52","	1","	6","	2","	31","	5","	5","	4","	"
196941,"	1","	11","	4","	0","	173","	24","	7","	2","	2","	23","	9","	2","	10","	2","	43","	3","	5","	27","	21","	53","	11","	0","	57","	8","	17","	1","	1","	5","	0","	1","	4","	24","	1","	11","	63","	41","	8","	12","	53","	15","	5","	1","	29","	72","	1","	7","	2","	31","	8","	10","	2","	"
196942,"	1","	17","	1","	14","	172","	16","	25","	1","	5","	19","	9","	4","	7","	0","	23","	24","	5","	24","	12","	62","	17","	11","	63","	3","	4","	2","	1","	28","	0","	6","	2","	53","	8","	1","	50","	43","	7","	16","	33","	17","	4","	0","	14","	53","	3","	14","	2","	27","	8","	12","	4","	"
196943,"	3","	9","	1","	8","	190","	13","	14","	4","	1","	33","	23","	1","	4","	2","	37","	11","	3","	26","	24","	154","	13","	4","	72","	3","	11","	7","	0","	25","	0","	1","	6","	64","	11","	1","	101","	42","	8","	21","	55","	16","	10","	0","	15","	38","	2","	3","	7","	34","	3","	10","	2","	"
196944,"	0","	6","	11","	12","	178","	9","	18","	2","	0","	24","	15","	4","	3","	1","	42","	18","	3","	37","	44","	36","	9","	24","	75","	4","	7","	11","	3","	23","	1","	2","	3","	43","	8","	1","	89","	45","	10","	12","	53","	7","	9","	0","	19","	52","	4","	7","	9","	0","	8","	8","	2","	"
196945,"	1","	10","	0","	6","	242","	0","	13","	2","	0","	55","	14","	2","	8","	0","	65","	12","	9","	21","	3","	83","	15","	12","	93","	10","	18","	5","	3","	10","	1","	11","	8","	45","	4","	9","	66","	41","	11","	12","	52","	11","	3","	1","	20","	34","	3","	14","	7","	31","	8","	8","	0","	"
196946,"	0","	7","	1","	16","	163","	17","	18","	0","	2","	38","	5","	1","	4","	0","	25","	18","	7","	18","	16","	53","	13","	20","	71","	12","	8","	14","	1","	28","	1","	4","	8","	40","	4","	2","	119","	41","	14","	20","	53","	26","	7","	0","	21","	53","	1","	11","	9","	43","	9","	13","	1","	"
196947,"	1","	7","	0","	8","	199","	17","	14","	0","	1","	32","	22","	10","	6","	1","	43","	11","	7","	37","	10","	62","	11","	12","	65","	3","	11","	5","	2","	24","	0","	0","	8","	53","	11","	0","	80","	75","	4","	20","	77","	23","	5","	1","	32","	34","	0","	9","	5","	31","	7","	4","	6","	"
196948,"	1","	3","	4","	4","	161","	21","	12","	0","	3","	13","	17","	7","	4","	0","	23","	21","	1","	14","	7","	47","	17","	10","	80","	9","	14","	1","	0","	8","	0","	0","	3","	36","	5","	0","	93","	45","	1","	13","	27","	16","	3","	0","	27","	36","	3","	7","	2","	30","	9","	8","	0","	"
196949,"	1","	5","	1","	18","	179","	11","	14","	1","	5","	27","	16","	5","	6","	0","	20","	34","	4","	41","	6","	91","	11","	17","	74","	8","	13","	3","	2","	22","	1","	1","	3","	49","	5","	7","	65","	36","	12","	19","	68","	13","	2","	2","	26","	56","	8","	9","	6","	11","	5","	5","	5","	"
196950,"	1","	7","	0","	15","	201","	12","	10","	0","	0","	15","	6","	1","	12","	3","	67","	22","	12","	56","	12","	67","	12","	18","	89","	5","	2","	9","	1","	15","	1","	2","	4","	36","	11","	1","	84","	57","	7","	18","	51","	8","	5","	0","	26","	39","	4","	13","	4","	56","	10","	9","	3","	"
196951,"	2","	10","	4","	14","	192","	5","	34","	2","	0","	25","	0","	2","	5","	1","	25","	7","	2","	47","	8","	58","	16","	11","	53","	8","	8","	3","	1","	25","	2","	0","	3","	41","	4","	3","	119","	63","	2","	22","	37","	13","	12","	1","	17","	69","	3","	9","	8","	16","	17","	3","	5","	"
196952,"	3","	11","	0","	11","	159","	10","	15","	0","	0","	25","	9","	3","	1","	1","	36","	15","	2","	13","	0","	41","	5","	2","	50","	0","	13","	2","	1","	4","	0","	1","	4","	53","	0","	0","	0","	33","	6","	11","	20","	18","	3","	1","	8","	10","	5","	5","	1","	17","	4","	4","	2","	"
197001,"	1","	5","	2","	6","	153","	0","	16","	0","	3","	11","	10","	8","	10","	11","	1","	0","	0","	36","	3","	64","	17","	23","	113","	2","	1","	2","	0","	4","	0","	3","	4","	60","	4","	0","	105","	42","	6","	10","	76","	11","	19","	1","	17","	33","	6","	14","	1","	21","	5","	5","	1","	"
197002,"	0","	7","	1","	12","	199","	0","	28","	1","	1","	41","	30","	2","	5","	2","	10","	7","	6","	24","	10","	65","	14","	14","	103","	4","	13","	2","	1","	13","	1","	3","	9","	36","	3","	2","	127","	40","	9","	12","	74","	19","	7","	0","	18","	38","	8","	15","	1","	15","	2","	5","	0","	"
197003,"	0","	9","	16","	18","	192","	0","	12","	0","	11","	43","	19","	2","	12","	4","	32","	8","	10","	43","	7","	70","	9","	10","	85","	3","	11","	3","	0","	25","	0","	1","	6","	66","	16","	1","	191","	32","	13","	14","	82","	13","	13","	0","	19","	32","	6","	9","	1","	27","	6","	2","	2","	"
197004,"	2","	6","	0","	7","	219","	14","	18","	3","	0","	14","	19","	10","	3","	1","	52","	25","	6","	55","	13","	36","	15","	18","	74","	5","	20","	6","	2","	6","	0","	0","	4","	37","	13","	2","	58","	49","	12","	24","	40","	15","	21","	0","	23","	83","	14","	5","	4","	22","	3","	9","	2","	"
197005,"	1","	12","	0","	9","	181","	7","	13","	0","	0","	24","	22","	8","	10","	2","	19","	8","	35","	25","	25","	64","	8","	4","	67","	7","	9","	4","	0","	22","	2","	2","	11","	42","	19","	1","	63","	85","	12","	15","	59","	8","	6","	0","	36","	50","	9","	17","	6","	28","	15","	7","	0","	"
197006,"	0","	2","	22","	7","	203","	4","	13","	1","	5","	26","	21","	2","	7","	5","	16","	22","	11","	40","	13","	49","	15","	2","	96","	7","	8","	5","	3","	30","	0","	2","	4","	23","	12","	0","	84","	85","	8","	14","	33","	10","	14","	1","	22","	49","	4","	10","	2","	32","	15","	7","	3","	"
197007,"	0","	3","	0","	18","	227","	10","	30","	0","	1","	34","	4","	5","	5","	0","	40","	15","	6","	34","	2","	45","	16","	27","	67","	20","	13","	2","	7","	24","	0","	4","	2","	30","	5","	0","	136","	38","	11","	15","	29","	2","	3","	1","	29","	69","	1","	15","	0","	27","	11","	2","	4","	"
197008,"	0","	10","	0","	8","	179","	2","	23","	2","	3","	44","	9","	6","	4","	2","	23","	13","	12","	48","	27","	62","	8","	12","	54","	5","	12","	2","	1","	22","	2","	0","	4","	16","	3","	0","	87","	39","	18","	28","	58","	11","	5","	0","	35","	63","	8","	18","	4","	11","	5","	13","	7","	"
197009,"	3","	10","	4","	9","	222","	33","	8","	0","	3","	46","	36","	3","	7","	0","	40","	25","	17","	37","	8","	40","	9","	3","	70","	10","	15","	10","	2","	24","	0","	2","	15","	51","	12","	12","	104","	59","	8","	26","	81","	14","	10","	0","	24","	53","	5","	13","	1","	32","	8","	8","	0","	"
197010,"	0","	5","	1","	13","	181","	16","	10","	1","	6","	15","	5","	2","	6","	2","	33","	12","	17","	25","	8","	45","	14","	8","	82","	11","	28","	5","	2","	31","	2","	5","	1","	53","	8","	2","	103","	47","	3","	14","	41","	18","	7","	1","	15","	65","	10","	16","	6","	27","	9","	9","	0","	"
197011,"	2","	1","	2","	14","	195","	14","	11","	2","	2","	36","	6","	4","	5","	3","	36","	20","	6","	29","	10","	63","	17","	20","	77","	4","	25","	11","	2","	26","	1","	1","	7","	16","	4","	0","	80","	37","	10","	21","	35","	22","	4","	0","	28","	41","	5","	20","	2","	30","	5","	9","	1","	"
197012,"	0","	1","	1","	10","	215","	0","	11","	0","	1","	18","	2","	1","	5","	1","	48","	12","	17","	21","	19","	39","	14","	15","	70","	3","	9","	7","	3","	11","	0","	2","	3","	39","	6","	0","	81","	30","	11","	15","	52","	17","	10","	1","	16","	74","	5","	22","	3","	22","	14","	8","	3","	"
197013,"	2","	5","	3","	7","	209","	35","	10","	1","	3","	47","	31","	2","	8","	12","	39","	6","	10","	21","	8","	32","	7","	11","	83","	8","	18","	10","	1","	8","	1","	2","	3","	49","	10","	0","	125","	75","	6","	18","	65","	12","	13","	0","	24","	52","	2","	9","	3","	16","	12","	12","	3","	"
197014,"	14","	7","	2","	19","	148","	19","	10","	0","	2","	35","	10","	4","	17","	0","	43","	11","	15","	30","	9","	60","	23","	11","	107","	7","	14","	7","	0","	34","	0","	3","	3","	62","	12","	16","	53","	47","	17","	12","	107","	10","	13","	1","	26","	77","	6","	11","	1","	36","	6","	6","	1","	"
197015,"	2","	21","	0","	14","	198","	18","	13","	0","	3","	47","	9","	2","	8","	17","	22","	14","	16","	29","	7","	32","	8","	7","	54","	12","	18","	5","	3","	12","	2","	2","	8","	59","	1","	0","	58","	50","	16","	17","	38","	15","	7","	1","	37","	63","	10","	17","	2","	18","	10","	11","	1","	"
197016,"	4","	9","	2","	9","	186","	15","	19","	2","	3","	5","	19","	0","	5","	4","	27","	18","	8","	35","	14","	38","	13","	15","	95","	6","	24","	5","	1","	13","	1","	4","	6","	62","	6","	0","	144","	52","	10","	19","	44","	13","	7","	1","	30","	71","	1","	21","	18","	19","	9","	14","	0","	"
197017,"	2","	5","	0","	13","	175","	19","	12","	2","	2","	53","	8","	0","	7","	2","	29","	17","	9","	36","	15","	62","	11","	20","	62","	10","	25","	3","	3","	28","	1","	7","	1","	27","	11","	0","	115","	37","	6","	19","	48","	11","	8","	0","	19","	84","	0","	14","	7","	43","	6","	10","	7","	"
197018,"	3","	17","	0","	7","	187","	35","	14","	0","	0","	41","	10","	21","	15","	5","	44","	12","	16","	22","	9","	45","	12","	10","	68","	6","	5","	10","	3","	31","	2","	1","	2","	62","	4","	13","	109","	54","	17","	15","	25","	14","	1","	0","	14","	47","	4","	22","	2","	36","	10","	5","	1","	"
197019,"	3","	15","	10","	16","	225","	37","	8","	0","	1","	55","	12","	6","	6","	1","	28","	28","	6","	19","	18","	0","	17","	9","	76","	15","	14","	3","	3","	31","	0","	11","	3","	37","	6","	0","	71","	46","	5","	17","	0","	16","	12","	1","	34","	102","	3","	21","	5","	29","	9","	4","	2","	"
197020,"	0","	2","	2","	9","	171","	12","	13","	0","	5","	23","	26","	1","	9","	1","	29","	15","	8","	14","	9","	54","	12","	4","	72","	16","	20","	5","	9","	34","	0","	1","	5","	44","	7","	3","	111","	45","	8","	18","	75","	8","	5","	0","	32","	54","	5","	33","	21","	20","	8","	7","	2","	"
197021,"	0","	10","	2","	10","	187","	0","	16","	2","	5","	47","	35","	0","	5","	3","	31","	8","	7","	11","	12","	17","	12","	20","	42","	6","	11","	14","	1","	19","	2","	2","	1","	55","	10","	0","	66","	20","	4","	16","	72","	9","	10","	0","	20","	53","	5","	24","	9","	6","	5","	10","	2","	"
197022,"	0","	8","	7","	17","	217","	37","	11","	0","	3","	29","	13","	3","	7","	1","	10","	20","	8","	32","	16","	51","	13","	18","	59","	3","	7","	3","	5","	33","	0","	2","	4","	60","	3","	0","	55","	73","	0","	9","	30","	16","	7","	2","	21","	56","	9","	28","	9","	28","	10","	7","	0","	"
197023,"	0","	23","	3","	9","	182","	19","	17","	1","	7","	32","	25","	5","	4","	1","	34","	10","	6","	32","	12","	49","	18","	3","	77","	5","	9","	14","	7","	21","	1","	1","	5","	50","	7","	4","	123","	51","	7","	12","	57","	7","	4","	0","	16","	40","	3","	22","	5","	26","	5","	4","	2","	"
197024,"	0","	7","	5","	8","	197","	15","	13","	1","	2","	68","	16","	1","	7","	1","	16","	10","	9","	29","	11","	54","	4","	9","	45","	3","	18","	16","	1","	19","	1","	2","	9","	62","	11","	5","	99","	37","	3","	11","	36","	5","	7","	0","	24","	57","	6","	58","	7","	18","	10","	4","	3","	"
197025,"	2","	4","	5","	10","	155","	17","	15","	1","	4","	32","	3","	4","	1","	4","	26","	7","	8","	19","	16","	37","	14","	16","	74","	6","	11","	1","	4","	14","	0","	2","	1","	52","	9","	1","	77","	29","	1","	11","	119","	11","	3","	0","	27","	32","	5","	55","	6","	20","	6","	0","	1","	"
197026,"	1","	9","	4","	10","	191","	40","	17","	3","	0","	33","	20","	8","	4","	2","	13","	15","	11","	10","	8","	40","	18","	7","	85","	4","	18","	1","	1","	14","	0","	0","	7","	47","	1","	0","	62","	46","	7","	17","	26","	12","	0","	0","	16","	48","	2","	20","	14","	7","	6","	1","	1","	"
197027,"	0","	5","	10","	12","	172","	35","	19","	2","	2","	47","	14","	4","	3","	0","	27","	9","	7","	23","	13","	24","	13","	6","	49","	4","	38","	3","	0","	18","	0","	2","	0","	31","	2","	16","	63","	42","	3","	11","	19","	7","	5","	1","	21","	66","	10","	72","	7","	13","	3","	14","	2","	"
197028,"	5","	4","	10","	10","	145","	10","	7","	4","	4","	40","	13","	3","	4","	0","	62","	6","	8","	21","	8","	39","	20","	11","	74","	7","	20","	2","	0","	10","	0","	1","	3","	62","	5","	0","	130","	42","	2","	19","	87","	14","	2","	0","	23","	51","	1","	22","	2","	10","	5","	5","	1","	"
197029,"	1","	5","	4","	17","	202","	39","	12","	3","	0","	24","	14","	21","	6","	2","	24","	7","	10","	25","	15","	42","	19","	9","	92","	5","	11","	3","	2","	24","	1","	4","	5","	38","	8","	1","	89","	29","	0","	19","	59","	10","	8","	1","	29","	47","	6","	33","	0","	17","	6","	1","	1","	"
197030,"	28","	13","	6","	8","	221","	13","	11","	2","	3","	30","	2","	6","	2","	3","	34","	8","	11","	9","	9","	31","	181","	14","	77","	6","	16","	5","	2","	27","	0","	3","	3","	62","	2","	1","	120","	27","	6","	11","	47","	17","	5","	0","	28","	62","	6","	56","	14","	9","	18","	5","	0","	"
197031,"	0","	12","	4","	17","	203","	23","	20","	2","	6","	50","	10","	10","	6","	0","	56","	1","	8","	16","	8","	19","	14","	5","	87","	3","	16","	4","	3","	5","	0","	2","	4","	67","	5","	11","	95","	33","	10","	13","	55","	11","	4","	0","	13","	59","	12","	15","	2","	45","	19","	7","	2","	"
197032,"	2","	12","	5","	10","	185","	27","	13","	1","	7","	51","	12","	4","	4","	2","	35","	10","	6","	11","	14","	49","	16","	16","	46","	6","	8","	0","	6","	11","	0","	1","	4","	85","	6","	0","	115","	36","	5","	12","	37","	16","	3","	0","	17","	36","	7","	6","	9","	30","	5","	9","	1","	"
197033,"	3","	9","	1","	16","	183","	0","	13","	6","	0","	87","	28","	1","	8","	3","	27","	11","	7","	21","	17","	56","	16","	3","	72","	6","	22","	3","	0","	12","	1","	4","	7","	36","	8","	0","	116","	38","	4","	23","	51","	3","	10","	0","	20","	50","	7","	129","	3","	33","	21","	5","	3","	"
197034,"	1","	4","	2","	14","	244","	30","	21","	10","	2","	27","	27","	3","	3","	2","	26","	16","	8","	16","	10","	47","	8","	29","	74","	5","	20","	3","	1","	22","	0","	0","	0","	45","	2","	1","	79","	38","	9","	22","	77","	19","	3","	0","	26","	64","	2","	67","	8","	15","	16","	2","	3","	"
197035,"	1","	20","	2","	30","	187","	14","	17","	1","	0","	36","	16","	4","	9","	1","	46","	9","	8","	19","	7","	40","	15","	7","	73","	7","	2","	3","	0","	14","	0","	3","	4","	48","	7","	1","	103","	35","	5","	28","	43","	7","	7","	0","	14","	4","	7","	30","	8","	29","	10","	9","	1","	"
197036,"	0","	11","	0","	11","	120","	8","	15","	1","	0","	27","	22","	0","	15","	1","	19","	15","	5","	27","	12","	40","	17","	7","	65","	4","	15","	3","	2","	15","	0","	3","	3","	45","	11","	16","	39","	21","	11","	23","	80","	15","	9","	0","	18","	85","	3","	31","	14","	19","	7","	2","	1","	"
197037,"	3","	7","	2","	5","	162","	0","	13","	4","	5","	27","	17","	3","	21","	2","	45","	12","	14","	25","	7","	39","	16","	9","	84","	6","	8","	3","	1","	20","	1","	2","	3","	56","	3","	2","	113","	32","	9","	26","	63","	11","	5","	0","	27","	85","	0","	61","	8","	45","	7","	4","	1","	"
197038,"	1","	19","	8","	25","	226","	35","	20","	2","	3","	54","	1","	6","	7","	3","	34","	5","	6","	16","	17","	41","	22","	16","	74","	4","	20","	9","	4","	20","	0","	2","	9","	71","	2","	2","	120","	51","	13","	20","	68","	11","	11","	0","	42","	57","	4","	21","	1","	24","	12","	6","	2","	"
197039,"	4","	10","	4","	15","	167","	15","	18","	2","	4","	38","	22","	4","	4","	3","	72","	5","	12","	16","	7","	43","	21","	15","	73","	6","	10","	7","	7","	27","	1","	3","	0","	69","	4","	0","	74","	40","	16","	21","	73","	14","	2","	2","	36","	50","	14","	24","	12","	21","	16","	22","	3","	"
197040,"	0","	2","	2","	0","	0","	29","	25","	4","	3","	56","	5","	0","	6","	0","	26","	8","	14","	19","	10","	39","	15","	22","	59","	10","	8","	3","	1","	11","	3","	1","	1","	79","	2","	1","	125","	47","	3","	19","	58","	8","	5","	0","	25","	44","	11","	22","	4","	29","	12","	5","	2","	"
197041,"	3","	11","	5","	12","	187","	0","	13","	1","	5","	45","	20","	11","	7","	5","	23","	4","	20","	29","	8","	50","	9","	7","	87","	6","	4","	1","	5","	18","	0","	2","	2","	76","	15","	0","	65","	43","	4","	41","	50","	24","	7","	1","	19","	45","	2","	21","	7","	43","	9","	2","	6","	"
197042,"	6","	6","	9","	7","	282","	25","	34","	8","	1","	27","	18","	0","	5","	0","	49","	13","	4","	12","	8","	36","	18","	12","	70","	3","	19","	1","	0","	9","	0","	7","	0","	63","	5","	0","	130","	47","	10","	17","	98","	11","	3","	1","	36","	43","	8","	11","	6","	30","	9","	10","	0","	"
